submitted,hash,description
2020-10-08 15:27:23, 3acc4bb5971c31c7544378a448fa8ff0, cryptominer Black-T
2020-10-08 15:27:23, 492ffed6e5cdc872f00a3f8b7cd3e512, cryptominer Black-T
2020-10-08 15:29:14, 545ed63d9b6e9ecf23165f05eb9ac1e2, trojan Ursnif
2020-10-08 15:29:14, 5f1556a1af8775bd1dea75a2316fe01b, trojan Ursnif
2020-10-08 15:29:14, ae151b8df84809d2f5ffdd7b1271f012, trojan Ursnif
2020-10-08 15:29:14, 8f869e02aee59e0d72eb947ac8196846, trojan Ursnif
2020-10-08 15:29:14, 0925aa7aaeaafb76a29b7c75484774c3, trojan Ursnif
2020-10-08 15:29:14, b7e22101c1c646165c6cb939e2b7eb73, trojan Ursnif
2020-10-08 15:29:14, a9b78d3c174a262bcf085609ea84e93c, trojan Ursnif
2020-10-08 15:29:14, 83f2a1330cda66b03678fdc433d3ee31, trojan Ursnif
2020-10-08 15:29:14, 1321194821b76affb2ec14e71642816b, trojan Ursnif
2020-10-08 15:29:14, 4bb1134afadf7e4d979ecab5caf97d5d, trojan Ursnif
2020-10-08 15:29:14, 0873fbd855ee5a80fbc3cefbc5c6193e, trojan Ursnif
2020-10-08 15:29:14, ac598e1560269a27a9b076c97a35c5d7, trojan Ursnif
2020-10-08 15:29:14, 320693ead90438fc1bfd26a76ddb0cea, trojan Ursnif
2020-10-08 15:29:14, 0e8de325670b27bbd58e0591c7ee64a7, trojan Ursnif
2020-10-08 15:29:14, f80b828e7655553c335aed633471e8ef, trojan Ursnif
2020-10-08 15:29:14, 5e3c503981b4b7a83672b67a78106bee, trojan Ursnif
2020-10-08 15:29:14, 15c81ef59755c099a84dcf6aae170c24, trojan Ursnif
2020-10-08 15:29:14, 024e9a9373b0a3b873623ea2da8b5f6b, trojan Ursnif
2020-10-08 15:29:14, 09ec7ca300571871574429282212727c, trojan Ursnif
2020-10-08 15:29:14, 1510b5dde423c41a7e4b3b3a2a9f9542, trojan Ursnif
2020-10-08 15:29:14, 280c82dd7b67bbf7468bcd9ae43798bd, trojan Ursnif
2020-10-08 15:29:14, e3f141570573d92b48e31ad6ecedd203, trojan Ursnif
2020-10-08 15:29:14, c776219b2d13930def885f5660ad7077, trojan Ursnif
2020-10-08 15:29:14, 3cbd78e900d1548cb5b61324d52cc76b, trojan Ursnif
2020-10-08 15:29:14, 2e9bd968946d127c9467c35329f994bc, trojan Ursnif
2020-10-08 15:29:14, 2e498c99638f430fd6beab8c97722996, trojan Ursnif
2020-10-08 15:29:14, a020623ac358d15ab3669acb19b90540, trojan Ursnif
2020-10-08 15:29:14, cc530a239241a1388c218699244115b0, trojan Ursnif
2020-10-08 15:29:14, b834262ee59348ec5a16322cc5ca4967, trojan Ursnif
2020-10-08 15:29:14, be7aae6eee7435a90c5a2c3c93ea0f02, trojan Ursnif
2020-10-08 15:29:14, 8c82bd0dbc874303a1863d75bd214c99, trojan Ursnif
2020-10-08 15:29:14, eb7f31090da590cc85c0c0ad0b900051, trojan Ursnif
2020-10-08 15:29:14, 131acc020f665ac733693a7066a50fab, trojan Ursnif
2020-10-08 15:29:14, fafb27e6166af0c5bda0dd3d693d8cb1, trojan Ursnif
2020-10-08 15:29:14, daa735e9157870092d4e711b69d5aeb7, trojan Ursnif
2020-10-08 15:29:14, ee6efb281d4a7992330fb9f5c3bae099, trojan Ursnif
2020-10-08 15:29:14, e6b42dc386d020e7dec0fc011d531d6c, trojan Ursnif
2020-10-08 15:29:14, 505e55ac01ebab4d12e8a4ea0631f070, trojan Ursnif
2020-10-08 15:29:14, 367fc34ec14bc8ce7345fa56f47244c7, trojan Ursnif
2020-10-08 15:29:14, 7af794aa51e3fe09a790a38e6ace1f31, trojan Ursnif
2020-10-08 15:29:14, eebf9f6b79ec8e0571dd2f4eda7ac5b2, trojan Ursnif
2020-10-08 15:29:14, cb4ef23cd8f0b6da7ad858b9350106bd, trojan Ursnif
